"STT","Chương trình","SV theo học","Qua HP","GPA","Cảnh báo","Nguy cơ nghỉ","Đúng tiến độ","Xu hướng"
"1","Kỹ thuật xây dựng","1.284","84,8%","2,74","38","22","76,2%","Giảm 3,1%"
"2","Công nghệ kỹ thuật hóa học","862","86,1%","2,81","31","18","78,5%","Giảm 1,8%"
"3","Khoa học máy tính","1.418","88,6%","2,96","29","16","82,7%","Ổn định"
"4","Luật","2.106","89,2%","3,02","27","15","84,1%","Tăng 0,6%"
"5","Quản trị kinh doanh","2.384","90,4%","3,06","24","13","85,8%","Tăng 1,2%"
"6","Công nghệ thực phẩm","1.026","91,8%","3,11","19","10","87,3%","Tăng 1,5%"
"7","Ngôn ngữ Anh","1.176","92,7%","3,18","17","8","89,6%","Tăng 2,1%"
"8","Nuôi trồng thủy sản","918","93,4%","3,22","14","7","90,8%","Tăng 2,4%"
"9","Công nghệ sinh học","794","94,1%","3,26","11","5","92,2%","Tăng 2,8%"
"10","Sư phạm Toán học","486","95,6%","3,34","6","2","94,7%","Tăng 3,2%"
