"STT","Đơn vị đào tạo","Lớp HP","Đúng tiến độ","Hiện diện","Nhập điểm","Đổi lịch","Phản hồi SV","Đánh giá"
"1","Trường Bách khoa","684","92,8%","91,6%","88,4%","18","4,21/5","Cần cải thiện"
"2","Trường Khoa học Tự nhiên","426","93,7%","92,4%","90,1%","11","4,28/5","Cần theo dõi"
"3","Trường Kinh tế","712","95,2%","93,8%","91,7%","9","4,32/5","Cần theo dõi"
"4","Trường CNTT&TT","498","96,1%","94,2%","92,6%","8","4,38/5","Đạt"
"5","Trường Nông nghiệp","516","96,8%","94,9%","94,1%","6","4,41/5","Đạt"
"6","Trường Sư phạm","438","97,4%","95,6%","95,2%","5","4,47/5","Tốt"
"7","Trường Thủy sản","306","97,8%","95,9%","95,8%","4","4,52/5","Tốt"
"8","Khoa Ngoại ngữ","348","98,1%","96,2%","96,4%","3","4,55/5","Tốt"
"9","Trường KHXH&NV","274","98,4%","96,8%","97,1%","2","4,58/5","Tốt"
"10","Viện CNSH&TP","184","98,9%","97,1%","97,6%","1","4,61/5","Xuất sắc"
