record_id,program_code,program_name,academic_year,semester,student_count,passed_course_count,attempted_course_count,gpa_point_sum,gpa_student_count,warning_student_count,dropout_risk_student_count,on_track_student_count,progress_evaluated_student_count,updated_at,is_deleted,_source_system,_source_type,_dataset,_schema_version,_ingestion_mode,_batch_id,_source_updated_at,_ingested_at,_record_checksum
DEMO-P001|2024-2025|S2,DEMO-P001,Kỹ thuật xây dựng,2024-2025,2,1207,6025,7242,3186.48,1207,43,25,898,1207,2025-07-15T09:00:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:00:00+07:00,2026-09-18T17:05:00+07:00,bfe245641d765f19c6249780c59fe3b8dfc71aa05db13faa253950a4aaedf0a6
DEMO-P001|2025-2026|S1,DEMO-P001,Kỹ thuật xây dựng,2025-2026,1,1245,6275,7470,3349.05,1245,41,24,936,1245,2026-01-15T09:00:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:00:00+07:00,2026-09-18T17:05:00+07:00,ca78184c57b4da130b8294ab6f109cc5667772a5890c5a7f3e9fbc74aa464228
DEMO-P001|2025-2026|S2,DEMO-P001,Kỹ thuật xây dựng,2025-2026,2,1284,6533,7704,3518.16,1284,38,22,978,1284,2026-07-15T09:00:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:00:00+07:00,2026-09-18T17:05:00+07:00,a83e1585298dc48fd7d3cdad03fc26793a9041f26490b7fd9984509e603b9f83
DEMO-P002|2024-2025|S2,DEMO-P002,Công nghệ kỹ thuật hóa học,2024-2025,2,812,4117,4872,2200.52,812,35,21,623,812,2025-07-15T09:01:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:01:00+07:00,2026-09-18T17:05:00+07:00,34ba3b0a765958ab6d0720d1f262c5a745d6d9bd3f6aa94fbb6b30280e240fea
DEMO-P002|2025-2026|S1,DEMO-P002,Công nghệ kỹ thuật hóa học,2025-2026,1,838,4289,5028,2312.88,838,33,20,649,838,2026-01-15T09:01:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:01:00+07:00,2026-09-18T17:05:00+07:00,3460fa638e65ccafb6d70b023bebba5c36336065009a93fe221bfed571c2c664
DEMO-P002|2025-2026|S2,DEMO-P002,Công nghệ kỹ thuật hóa học,2025-2026,2,862,4453,5172,2422.22,862,31,18,677,862,2026-07-15T09:01:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:01:00+07:00,2026-09-18T17:05:00+07:00,4d6069d13d63c6135ac17ae8da3a1a967fcbfe0b19df991f37f599da03b5f545
DEMO-P003|2024-2025|S2,DEMO-P003,Khoa học máy tính,2024-2025,2,1339,6990,8034,3829.54,1339,32,18,1083,1339,2025-07-15T09:02:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:02:00+07:00,2026-09-18T17:05:00+07:00,b8f731dacbce7ba6e53c7bcdcefdbb765cf021cb55389c5aad12e2cdcb653250
DEMO-P003|2025-2026|S1,DEMO-P003,Khoa học máy tính,2025-2026,1,1381,7275,8286,4018.71,1381,31,17,1128,1381,2026-01-15T09:02:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-01-15T09:02:00+07:00,2026-09-18T17:05:00+07:00,2cdc98a011f3f4b3f4c784a95e6a757e2e6d6537e28b81615963f9d51dd62c6c
DEMO-P003|2025-2026|S2,DEMO-P003,Khoa học máy tính,2025-2026,2,1418,7538,8508,4197.28,1418,29,16,1173,1418,2026-07-15T09:02:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2026-07-15T09:02:00+07:00,2026-09-18T17:05:00+07:00,2ca3e6cfb33f5e0cb33af38dcc049b412364179f17146cd276206b89235a7c69
DEMO-P004|2024-2025|S2,DEMO-P004,Luật,2024-2025,2,1992,10470,11952,5816.64,1992,30,17,1639,1992,2025-07-15T09:03:00+07:00,False,ctu_ioc_demo,API,education.learning_outcomes,0.1-demo,FULL_DEMO,ctu_ioc_demo_20260918_170500,2025-07-15T09:03:00+07:00,2026-09-18T17:05:00+07:00,817a6e14c3347a4ce932d1435012e106922ffd70144c045fed6f1bcbcdb4d794
